X-direction,Y-direction,Z-direction,Error_found
-0.2,1.29,11.65,yes
-0.43,1.29,11.85,yes
-0.24,1.14,11.81,yes
-0.27,1.22,11.53,yes
-0.12,1.1,12.24,yes
-0.08,1.14,11.69,yes
0.04,0.98,11.81,yes
-0.31,1.26,12.04,yes
0.16,0.9,12.24,yes
-0.24,1.1,11.77,yes
0.16,1.06,11.89,yes
-0.16,1.14,11.85,yes
-0.47,1.06,11.73,yes
-0.12,1.14,11.89,yes
-0.16,1.1,11.77,yes
-0.27,1.33,11.89,yes
-0.04,1.14,11.77,yes
-0.16,1.29,11.73,yes
0,1.18,11.73,yes
-0.04,1.14,11.69,yes
-0.04,1.06,11.65,yes
-0.24,1.1,11.57,yes
-0.35,1.37,11.65,yes
0.08,1.18,12.28,yes
0.04,1.14,12.12,yes
-0.27,1.26,11.61,yes
0,1.18,11.77,yes
-0.39,1.26,11.57,yes
-0.08,1.22,11.77,yes
-0.39,1.33,11.77,yes
-0.27,1.1,11.73,yes
-0.12,1.18,11.69,yes
0,1.29,11.41,yes
-0.27,1.26,11.49,yes
-0.59,0.98,11.57,yes
0.27,1.02,12.32,yes
-0.2,1.1,11.81,yes
-0.24,1.1,12.08,yes
-0.08,0.94,11.65,yes
-0.04,1.06,11.81,yes
-0.24,1.02,11.61,yes
-0.2,1.22,11.65,yes
-0.24,1.29,11.65,yes
-0.08,1.14,11.73,yes
-0.2,1.06,11.89,yes
-0.16,1.29,11.65,yes
-0.35,1.22,11.81,yes
0,1.02,11.69,yes
-0.27,1.26,11.65,yes
-0.08,1.22,11.85,yes
0.08,1.18,11.65,yes
-0.31,0.94,11.53,yes
-0.51,1.37,11.96,yes
-0.2,1.06,11.73,yes
-0.04,1.06,11.69,yes
-0.47,1.65,11.77,yes
0.04,1.33,11.77,yes
-0.27,1.33,12.36,yes
-0.12,1.1,11.81,yes
-0.08,1.18,11.77,yes
-0.31,1.29,11.69,yes
-0.16,1.29,11.77,yes
-0.04,1.06,11.73,yes
-0.47,1.26,11.65,yes
0,1.1,11.77,yes
-0.16,1.1,11.73,yes
-0.08,1.22,11.85,yes
-0.2,0.98,11.77,yes
0,1.02,11.61,yes
-0.39,1.22,11.69,yes
-0.08,0.75,12.08,yes
-0.59,1.33,11.38,yes
-0.24,1.14,11.73,yes
-0.12,1.1,11.85,yes
-0.2,1.26,11.85,yes
-0.12,1.22,11.69,yes
-0.16,1.18,11.65,yes
-0.27,1.14,11.77,yes
0.08,1.06,11.81,yes
-0.12,1.18,11.77,yes
-0.08,1.26,11.61,yes
-0.12,1.14,11.73,yes
-0.08,1.18,11.73,yes
-0.16,1.29,11.81,yes
-0.12,1.22,11.73,yes
0.04,1.29,11.73,yes
-0.08,1.1,11.73,yes
-0.2,1.1,11.77,yes
-0.12,1.14,11.57,yes
-0.55,1.33,11.69,yes
-0.35,1.29,11.69,yes
-0.24,1.22,11.77,yes
-0.16,1.14,11.73,yes
-0.31,1.33,11.65,yes
-0.27,1.18,11.81,yes
-0.31,1.26,11.57,yes
-0.08,1.06,11.77,yes
-0.16,1.33,11.89,yes
-0.04,1.1,11.69,yes
-0.24,1.14,12,yes
-0.12,1.22,11.85,yes
0.04,1.1,11.89,yes
-0.16,1.18,11.57,yes
-0.2,1.33,11.73,yes
-0.08,1.22,11.92,yes
-0.43,0.94,11.85,yes
-0.24,1.29,11.69,yes
0.12,1.1,11.45,yes
0.27,1.18,11.61,yes
-1.49,1.41,12.08,yes
-0.39,1.22,11.53,yes
0,1.06,11.69,yes
-0.08,1.18,11.73,yes
-0.2,1.02,11.73,yes
-0.04,0.86,11.85,yes
-0.43,1.29,12.12,yes
0.2,1.53,11.69,yes
-0.31,0.98,11.89,yes
0,0.9,11.77,yes
-0.51,1.37,11.73,yes
-0.12,1.1,11.69,yes
-0.08,1.61,11.81,yes
0,1.18,11.69,yes
-0.27,1.06,11.89,yes
-0.27,1.37,11.61,yes
0.12,1.26,11.73,yes
-0.12,1.22,11.69,yes
0.55,1.45,11.61,yes
-0.04,1.41,12.16,yes
-0.08,1.26,11.85,yes
-0.2,0.94,11.53,yes
-0.35,1.14,11.73,yes
-1.22,1.33,11.81,yes
-0.35,1.22,11.89,yes
0.08,0.9,11.34,yes
-0.2,1.22,11.77,yes
-0.24,1.45,11.61,yes
-0.16,1.22,11.81,yes
-0.16,1.41,11.89,yes
0.04,1.22,11.73,yes
-1.26,0.82,11.65,yes
-0.08,1.26,11.85,yes
0.35,1.1,11.57,yes
-0.12,0.9,11.49,yes
-0.24,1.06,11.89,yes
-0.51,1.1,11.96,yes
0.04,0.86,11.49,yes
0.24,1.02,11.61,yes
-1.14,1.49,11.89,yes
0,0.86,11.38,yes
0.2,1.33,11.92,yes
-0.08,1.37,11.89,yes
0.24,0.94,11.69,yes
-0.71,0.86,12,yes
0,1.02,11.92,yes
0,1.02,11.65,yes
0.24,1.53,11.77,yes
0,1.37,12.04,yes
-0.31,1.29,11.81,yes
-0.27,1.18,11.85,yes
0,1.1,11.85,yes
-0.35,1.06,11.69,yes
-0.08,1.18,11.73,yes
-0.27,1.26,11.73,yes
-0.24,1.02,11.61,yes
-0.2,1.14,11.61,yes
-0.31,1.29,11.77,yes
-0.31,1.37,11.65,yes
-0.16,1.26,11.38,yes
-0.12,1.06,11.69,yes
-0.08,1.29,12,yes
-0.08,1.22,11.73,yes
-0.04,1.02,11.61,yes
-0.04,1.1,11.49,yes
-0.08,1.33,11.65,yes
-0.04,1.22,11.96,yes
-0.27,1.22,11.77,yes
0.12,0.98,11.73,yes
